seqid	source	exon_type	start	end	length	homology	strand	phase	attributes	substring
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	8841	8901	61	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	8902	9790	888	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	9791	9962	172	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	9963	10341	378	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	10342	10408	67	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	10409	10506	97	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	10507	10563	57	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	10564	11838	1274	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	11839	11967	129	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	11968	13171	1203	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	13172	13222	51	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	13223	13882	659	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	13883	13983	101	99.01	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	13984	14546	562	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	14547	14643	97	97.94	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	14644	15297	653	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	15298	15377	80	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	15378	16481	1103	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	16482	16529	48	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	16530	16809	279	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	16810	16879	70	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	16880	17345	465	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	17346	17427	82	98.78	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	17428	17622	194	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	17623	17718	96	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	17719	18106	387	0.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	18107	18426	320	99.38	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	206	293	88	98.86	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	294	425	131	0.0	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	426	482	57	100.0	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	483	1781	1298	0.0	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	1782	1833	52	100.0	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	1834	4273	2439	0.0	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	4274	4325	52	98.08	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	4326	4960	634	0.0	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	4961	5092	132	98.48	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	5093	5439	346	0.0	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	5440	5593	154	99.35	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	5594	5949	355	0.0	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	5950	6033	84	100.0	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	6034	7702	1668	0.0	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	7703	7769	67	100.0	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN44852_c1_g1_i5	+	fine	3479	3556	78	100.0	+	.	GRA_OG0030313	substring_1
GRA_SL+_TRINITY_DN44852_c1_g1_i5	+	intron	3557	3672	115	0.0	+	.	GRA_OG0030313	substring_1
GRA_SL+_TRINITY_DN44852_c1_g1_i5	+	fine	3673	3817	145	98.62	+	.	GRA_OG0030313	substring_1
GRA_SL+_TRINITY_DN44852_c1_g1_i5	+	intron	3818	4863	1045	0.0	+	.	GRA_OG0030313	substring_1
GRA_SL+_TRINITY_DN44852_c1_g1_i5	+	fine	4864	5134	271	98.52	+	.	GRA_OG0030313	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	4398	4641	244	100.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	4642	4949	307	0.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	4950	5115	166	100.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	5116	5747	631	0.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	5748	5833	86	100.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	5834	5962	128	0.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	5963	6042	80	100.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	6043	6753	710	0.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	6754	6874	121	100.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	6875	7249	374	0.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	7250	7327	78	98.72	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	7328	8152	824	0.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	8153	8319	167	99.4	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	8320	9052	732	0.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	9053	9184	132	96.97	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	9185	9949	764	0.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	9950	10077	128	100.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	10078	10343	265	0.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	10344	10755	412	99.27	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN50350_c0_g3_i1	+	fine	2167	2297	131	96.18	+	.	GRA_OG0030319	substring_1
GRA_SL+_TRINITY_DN50350_c0_g3_i1	+	intron	2298	2968	670	0.0	+	.	GRA_OG0030319	substring_1
GRA_SL+_TRINITY_DN50350_c0_g3_i1	+	fine	2969	3312	344	99.71	+	.	GRA_OG0030319	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	195	328	134	96.27	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	329	1151	822	0.0	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	1152	1281	130	100.0	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	1282	2030	748	0.0	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	2031	2102	72	98.61	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	2103	2355	252	0.0	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	2356	2503	148	99.32	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	2504	2988	484	0.0	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	2989	3042	54	98.15	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	3043	3155	112	0.0	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	3156	3263	108	100.0	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	3264	4446	1182	0.0	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	4447	4588	142	97.18	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	4904	4967	64	95.31	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	4968	5218	250	0.0	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	5219	5285	67	100.0	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	5286	5636	350	0.0	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	5637	5741	105	100.0	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	5742	6117	375	0.0	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	6118	6233	116	100.0	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	6234	6523	289	0.0	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	6524	6649	126	97.62	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN45988_c2_g2_i2	+	fine	2314	2432	119	98.32	+	.	GRA_OG0030321	substring_1
GRA_SL+_TRINITY_DN45988_c2_g2_i2	+	intron	2433	2972	539	0.0	+	.	GRA_OG0030321	substring_1
GRA_SL+_TRINITY_DN45988_c2_g2_i2	+	fine	2973	3109	137	100.0	+	.	GRA_OG0030321	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	2423	2493	71	95.77	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	2494	3751	1257	0.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	3752	3860	109	100.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	3861	4187	326	0.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	4188	4248	61	96.72	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	4249	4682	433	0.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	4683	4788	106	100.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	4789	5319	530	0.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	5320	5383	64	98.44	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	5384	5560	176	0.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	5561	5631	71	95.77	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	5632	6255	623	0.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	6256	6297	42	100.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	6298	6556	258	0.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	6557	6646	90	100.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	6647	7034	387	0.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	7035	7079	45	100.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	7080	8486	1406	0.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	8487	8637	151	95.36	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	8638	9300	662	0.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	9301	9463	163	98.16	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN39522_c1_g4_i2	+	fine	3104	3277	174	99.43	+	.	GRA_OG0030327	substring_1
GRA_SL+_TRINITY_DN39522_c1_g4_i2	+	intron	3278	3281	3	0.0	+	.	GRA_OG0030327	substring_1
GRA_SL+_TRINITY_DN39522_c1_g4_i2	+	fine	3282	3427	146	100.0	+	.	GRA_OG0030327	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	194	469	276	96.01	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	470	741	271	0.0	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	742	774	33	100.0	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	775	1969	1194	0.0	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	1970	2150	181	99.45	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	2151	2211	60	0.0	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	2212	2294	83	98.8	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	2295	6302	4007	0.0	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	6303	6470	168	98.21	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	6471	6601	130	0.0	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	6602	6723	122	98.36	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	12864	12925	62	100.0	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	12926	13032	106	0.0	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	13033	13090	58	100.0	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	13091	15004	1913	0.0	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	15005	15037	33	93.94	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	15038	15039	1	0.0	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	15040	15102	63	96.83	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	18479	18575	97	96.91	+	.	GRA_OG0030329	substring_3
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	18576	19934	1358	0.0	+	.	GRA_OG0030329	substring_3
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	19935	19971	37	100.0	+	.	GRA_OG0030329	substring_3
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	19972	20229	257	0.0	+	.	GRA_OG0030329	substring_3
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	20230	20360	131	100.0	+	.	GRA_OG0030329	substring_3
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	3856	3916	61	96.72	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	3917	4379	462	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	4380	4421	42	100.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	4422	5342	920	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	5343	5431	89	97.75	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	5432	9203	3771	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	9204	9278	75	100.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	9279	11552	2273	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	11553	11660	108	99.07	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	11661	13000	1339	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	13001	13042	42	100.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	13043	13636	593	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	13637	13779	143	100.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	13780	14556	776	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	14557	14631	75	100.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	14632	15165	533	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	15166	15252	87	100.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	15253	16250	997	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	16251	16344	94	98.94	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	16345	17891	1546	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	17892	17983	92	98.91	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	17984	19016	1032	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	19017	19127	111	99.1	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	19128	19754	626	0.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	19755	19782	28	100.0	+	.	GRA_OG0030333	substring_1
GRA_SL-_TRINITY_DN37260_c0_g2_i1	-	fine	604	914	311	99.68	-	.	GRA_OG0030334	substring_1
GRA_SL-_TRINITY_DN37260_c0_g2_i1	-	intron	915	958	43	0.0	-	.	GRA_OG0030334	substring_1
GRA_SL-_TRINITY_DN37260_c0_g2_i1	-	fine	959	1152	194	99.48	-	.	GRA_OG0030334	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	fine	200	481	282	99.65	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	intron	482	754	272	0.0	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	fine	755	981	227	100.0	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	intron	982	1577	595	0.0	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	fine	1578	1629	52	100.0	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	intron	1630	2444	814	0.0	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	fine	2445	2545	101	98.02	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	intron	2546	2650	104	0.0	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	fine	2651	2784	134	100.0	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	intron	2785	3346	561	0.0	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	fine	3347	3418	72	100.0	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	intron	3419	3971	552	0.0	+	.	GRA_OG0030336	substring_1
